Qty;Value;Device;Package;Parts;Description;Reichelt; Total (Euro)
2;10uF / 50V;CPOL-EUE2,5-6E;E2,5-6E;C1, C2;POLARIZED CAPACITOR, European symbol;RAD FC 10/50;0,20
1;1nF;C-EU050-045X075;C050-045X075;C3;CAPACITOR, European symbol;FKP2-63 1,0N;0,13
1;680pF;C-EU050-045X075;C050-045X075;C4;CAPACITOR, European symbol;FKP2-100 680P;0,13
2;10nF;C-EU050-045X075;C050-045X075;C5, C6;CAPACITOR, European symbol;FKP2-63 10N;0,15
1;100nF;C-EU050-045X075;C050-045X075;C7;CAPACITOR, European symbol;MKS2-63 100N;0,13
5;100k lin;RK11K112;RK11K112;CV2-LEVEL, FREQ-COARSE, FREQ-FINE, PULSE-WIDTH, PWM-LEVEL;ALPS-Potentiometer;RK11K112-LIN100K;6,75
2;1N4148;1N4148DO35-7;DO35-7;D1, D2;DIODE;1N 4148;0,08
1;4011N;4011N;DIL14;IC1;Quad 2-input NAND;MOS 4011;0,24
1;LM3046M/NOPB;LM3046M/NOPB;SO14;Q1;Texas Instruments LM3046;LM 3046 M;0,80
3;2SK30;2SK30;TO92;Q2, Q3, Q4;Transistor N-FET;2SK 30;2,58
1;221k;R-EU_0207/7;0207/7;R1;RESISTOR, European symbol;METALL 221K;0,08
1;110k;R-EU_0207/7;0207/7;R10;RESISTOR, European symbol;METALL 110K;0,08
1;1M;R-EU_0207/7;0207/7;R13;RESISTOR, European symbol;METALL 1,00M;0,08
1;1.2M;R-EU_0207/7;0207/7;R14;RESISTOR, European symbol;METALL 1,20M;0,08
1;6.8M;R-EU_0207/7;0207/7;R15;RESISTOR, European symbol;METALL 6,80M;0,08
2;10k;R-EU_0207/7;0207/7;R16, R31;RESISTOR, European symbol;METALL 10,0K;0,16
2;4.7k;R-EU_0207/7;0207/7;R17, R26;RESISTOR, European symbol;METALL 4,70K;0,16
2;88.7k;R-EU_0207/7;0207/7;R18, R29;RESISTOR, European symbol;METALL 88,7K;0,16
1;3.3M;R-EU_0207/7;0207/7;R2;RESISTOR, European symbol;METALL 3,30M;0,08
1;475k;R-EU_0207/7;0207/7;R20;RESISTOR, European symbol;METALL 475K;0,08
3;150k;R-EU_0207/7;0207/7;R21, R44, R45;RESISTOR, European symbol;METALL 150K;0,25
2;49.9k;R-EU_0207/7;0207/7;R23, R25;RESISTOR, European symbol;METALL 49,9K;0,16
1;3.3k;R-EU_0207/7;0207/7;R27;RESISTOR, European symbol;METALL 3,30K;0,08
1;22k;R-EU_0207/7;0207/7;R28;RESISTOR, European symbol;METALL 22,0K;0,08
7 (10);100k;R-EU_0207/7;0207/7;R3, R11, R12, R35, R36, R40, R43;RESISTOR, European symbol (10pcs are cheaper than 7);METALL 100K;0,49
1;16.5k;R-EU_0207/7;0207/7;R30;RESISTOR, European symbol;METALL 16,5K;0,08
1;1.2k;R-EU_0207/7;0207/7;R32;RESISTOR, European symbol;METALL 1,20K;0,08
1;13k;R-EU_0207/7;0207/7;R33;RESISTOR, European symbol;METALL 13,0K;0,08
1;120k;R-EU_0207/7;0207/7;R34;RESISTOR, European symbol;METALL 120K;0,08
1;1.5k;R-EU_0207/7;0207/7;R37;RESISTOR, European symbol;METALL 1,50K;0,08
1;12k;R-EU_0207/7;0207/7;R38;RESISTOR, European symbol;METALL 12,0K;0,08
1;PTC 1.87k;R-EU_0207/7;0207/7;R39;PTC  (TEMPCO 1.87k 3400ppm would be better but isn't avaliable from Reichelt);KTY 81-210;0,63
1;56k;R-EU_0207/7;0207/7;R4;RESISTOR, European symbol;METALL 56,0K;0,08
2;61.9k;R-EU_0207/7;0207/7;R41, R42;RESISTOR, European symbol;METALL 62,0K;0,16
1;390k;R-EU_0207/7;0207/7;R5;RESISTOR, European symbol;METALL 390K;0,08
3;100k lin;R-TRIMM64W;RTRIM64W;R6, R19, R22;Trimm resistor;64W-100K;0,96
1;274k;R-EU_0207/7;0207/7;R7;RESISTOR, European symbol;METALL 274K;0,08
1;121k;R-EU_0207/7;0207/7;R8;RESISTOR, European symbol;METALL 121K;0,08
2;270k;R-EU_0207/7;0207/7;R9, R24;RESISTOR, European symbol;METALL 270K;0,08
1;Power;ML10;ML10;SV1;HARTING;WSL 10G;0,09
2;2N3904;2N3904-NPN-TO92-EBC;TO92-EBC;T1, T5;NPN Transistror;2N 3904;0,16
1;2N3906/2N5910;2N3906-PNP-TO92-EBC;TO92-EBC;T2;PNP Transistror;2N 3906;0,04
2;2N3906;2N3906-PNP-TO92-EBC;TO92-EBC;T3, T4;PNP Transistror;2N 3906;0,08
1;;;;;Single sided PCB;BEL 75X100-1;0,99
8;;;;;3,5mm switched mono jacks;LUM 1502-03;6,88
;;;;;;;
;;;;;;;24,22
;;;;;;;